Passage ID,English Text,Parsing Failed Message,chinese_translation,academic_terms
270277,"is a parallelogram. is the midpoint of the line .is a straight line so that Given that find the value of

","是一个平行四边形。是线段的中点。是一条直线，使得给定的，求的值。

{
  ""Chinese Translation"": ""是一个平行四边形。是线段的中点。是一条直线，使得给定的，求的值。"",
  ""academic_terms"": {
    ""parallelogram"": ""平行四边形"",
    ""midpoint"": ""中点"",
    ""line segment"": ""线段"",
    ""straight line"": ""直线"",
    ""value"": ""值""
  }
}","是一个平行四边形。是线段的中点是一条直线，使得给定的，求的值

}","{'Chinese Translation': '是一个平行四边形。是线段的中点。是一条直线，使得给定的，求的值。', 'parallelogram': '平行四边形', 'midpoint': '中点', 'line segment': '线段', 'straight line': '直线', 'value': '值'}"
266279,"Show that    can be written in the form   where  and  are integers.

","证明可以写成形式，其中  和  是整数。

{
  ""Chinese Translation"": ""证明可以写成形式，其中  和  是整数。"",
  ""academic_terms"": {
    ""integer"": ""整数"",
    ""form"": ""形式""
  }
}","证明可以写成形式，其中  和  是整数。

}","{'Chinese Translation': '证明可以写成形式，其中  和  是整数。', 'integer': '整数', 'form': '形式'}"
269019,"Here is a coordinate grid.Shape S is translated to Shape T using vector  Write down the values of  and . = .................... = ....................

","这是一个坐标格。形状S通过向量   被平移为形状T。请写出和的值。 = .................... = ....................

{
  ""Chinese Translation"": ""这是一个坐标格。形状S通过向量   被平移为形状T。请写出和的值。 = .................... = ...................."",
  ""academic_terms"": {
    ""coordinate grid"": ""坐标格"",
    ""shape"": ""形状"",
    ""translate"": ""平移"",
    ""vector"": ""向量""
  }
}","这是一个坐标格。形状通过向量   被平移为形状请写出和的值 = .................... = ....................

}","{'Chinese Translation': '这是一个坐标格。形状S通过向量   被平移为形状T。请写出和的值。 = .................... = ....................', 'coordinate grid': '坐标格', 'shape': '形状', 'translate': '平移', 'vector': '向量'}"
269566,"Here is a four sided spinner.The spinner is biased.The table shows the probabilities that the spinner will land on 1 or on 3The probability that the spinner will land on 2 is the same as the probability that the spinner will land on 4Work out the probability that the spinner will land on 4.

","这里有一个四面的旋转器。旋转器是有偏差的。表格显示了旋转器停在1或3的概率。旋转器停在2的概率与停在4的概率相同。计算旋转器停在4的概率。

Chinese Translation: 这是一个四面的旋转器。旋转器是有偏差的。表格显示了旋转器停在1或3的概率。旋转器停在2的概率与停在4的概率相同。计算旋转器停在4的概率。

academic_terms: 
- spinner: 旋转器
- biased: 有偏差的
- probabilities: 概率
- land on: 停在
- work out: 计算","这里有一个四面的旋转器。旋转器是有偏差的表格显示了旋转器停在1或3的概率旋转器停在2的概率与停在4的概率相同计算旋转器停在4的概率

 : 这是一个四面的旋转器",{}
270437,"Here is some information about a tennis club.There are 30 members with There are 12 members with There are no members with Complete the histogram.

","以下是关于一个网球俱乐部的一些信息。有30个成员，其中有12个成员，没有人数为的成员。请完成直方图。 

'Chinese Translation': '以下是关于一个网球俱乐部的一些信息。有30个成员，其中有12个成员，没有人数为的成员。请完成直方图。',
'academic_terms': {
    'tennis club': '网球俱乐部',
    'members': '成员',
    'histogram': '直方图'
}","以下是关于一个网球俱乐部的一些信息。有30个成员，其中有12个成员，没有人数为的成员请完成直方图 

' ': '以下是关于一个网球俱乐部的一些信息',
'_':",{}
269610,"Graham says,   ""% of workers at the factory are older than ""Is Graham correct?You must show how you get your answer.

","格雷厄姆说，工厂的工人中有％年龄大于x岁。格雷厄姆正确吗？你必须展示你得出答案的方法。

{
  ""Chinese Translation"": ""格雷厄姆说，工厂的工人中有％年龄大于x岁。格雷厄姆正确吗？你必须展示你得出答案的方法。"",
  ""academic_terms"": {
    ""percentage"": ""百分比"",
    ""workers"": ""工人"",
    ""factory"": ""工厂"",
    ""older"": ""年龄大于"",
    ""correct"": ""正确"",
    ""answer"": ""答案""
  }
}","格雷厄姆说，工厂的工人中有％年龄大于岁。格雷厄姆正确吗？你必须展示你得出答案的方法

}","{'Chinese Translation': '格雷厄姆说，工厂的工人中有％年龄大于x岁。格雷厄姆正确吗？你必须展示你得出答案的方法。', 'percentage': '百分比', 'workers': '工人', 'factory': '工厂', 'older': '年龄大于', 'correct': '正确', 'answer': '答案'}"
266475,"Here is a sketch of the circle  Show that the tangent to this circle at the point (-3, 6) has a gradient of

","这是一个圆的草图，请证明该圆在点(-3,6)处的切线斜率为","这是一个圆的草图，请证明该圆在点(-3,6)处的切线斜率为",{}
268386,"Richard says that the people on coach A vary more in age than the people on coach B.Is Richard correct?You must give a reason for your answer.

",Richard说在A车上的人年龄的差异比B车上的人大。Richard正确吗？请给出理由支持你的答案。,说在车上的人年龄的差异比车上的人大。正确吗？请给出理由支持你的答案,{}
266422,"Describe fully the single transformation that maps shape P onto shape Q.

","描述完全地将形状P映射到形状Q的单个变换。

Chinese Translation: 描述完全地将形状P映射到形状Q的单个变换。

academic_terms: 
1. single transformation: 单一变换
2. shape: 形状
3. map: 映射
4. onto: 到
5. fully: 完全地","描述完全地将形状映射到形状的单个变换。

 : 描述完全地将形状映射到形状的单个变换",{}
265859,"Preety is a student in Year 12,Preety ∉ F.Use this information to write a statement about Preety.

",Preety is a student in Year 12 and it can be inferred that Preety is not a member of the set F.,Error in response,{}
